SEP=,
Id,Name,Formula,MeasurementUnit
1,Dióxido de Azufre,SO_2,µg/m^3
6,Monóxido de Carbono,CO,mg/m^3
7,Monóxido de Nitrógeno,NO,µg/m^3
8,Dióxido de Nitrógeno,NO_2,µg/m^3
9,Partículas < 2.5 µm,PM2.5,µg/m^3
10,Partículas < 10 µm,PM10,µg/m^3
12,Óxidos de Nitrógeno,NOx,µg/m^3
14,Ozono,O_3,µg/m^3
20,Tolueno,TOL,µg/m^3
30,Benceno,BEN,µg/m^3
35,Etilbenceno,EBE,µg/m^3
37,Metaxileno,EXY,µg/m^3
38,Paraxileno,PXY,µg/m^3
39,Ortoxileno,OXY,µg/m^3
42,Hidrocarburos totales (hexano),TCH,µg/m^3
43,Metano,CH4,µg/m^3
