Id,Name,Address,Longitude,Latitude,Altitude,StartDate,EndDate
1,Plaza de Recoletos,,,,,01/01/1990 00:00,04/05/2009 14:00
2,Glorieta de Carlos V,,,,,01/01/1990 00:00,04/12/2006 11:00
35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces. ,"3°42'11.40""O","40°25'9.15""N",660,01/01/2011 0:00,
3,Plaza del Carmen,,,,,01/11/1999 0:00,31/12/2010 23:00
4,Plaza de España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,01/12/1998 0:00,
39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",676,01/01/2011 0:00,
5,Barrio del Pilar,,,,,01/05/1998 0:00,31/12/2010 23:00
6,Plaza de Dr. Marañón,,,,,01/01/1990 00:00,27/11/2009 8:00
7,Plaza M. de Salamanca,,,,,01/01/1990 00:00,30/12/2009 14:00
8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,01/12/1998 0:00,
9,Plaza Luca de Tena,,,,,01/01/1990 00:00,07/12/2009 8:00
38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,01/01/2011 0:00,
10,Cuatro Caminos,,,,,01/11/1998 0:00,31/12/2010 23:00
11,Avenida Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,"3°40'38.50""O","40°27'5.29""N",708,12/01/1998 0:00,
12,Plaza de Manuel Becerra,,,,,01/01/1990 00:00,30/12/2009 14:00
40,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,"3°39'5.50""O","40°23'17.33""N",677,01/01/2011 0:00,
13,Vallecas,,,,,30/09/1999 0:00,31/12/2010 23:00
14,Plaza de Fernández Ladreda,,,,,01/01/1990 00:00,02/12/2009 9:00
15,Plaza de Castilla,,,,,01/01/1990 00:00,17/10/2008 11:00
16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,01/12/1998 0:00,
17,Villaverde Alto,C/. Juan Peñalver,"3°42'47.89""O","40°20'49.74""N",601,01/12/1998 0:00,
18,Calle farolillo,Calle Farolillo - C/Ervigio,"3°43'54.61""O","40°23'41.22""N",632,31/03/2001 0:00,
19,Huerta Castañeda,,,,,01/01/1990 00:00,30/12/2009 13:00
36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,01/01/2011 0:00,
20,Moratalaz,,,,,01/12/1998 0:00,31/12/2010 23:00
21,Plaza de Cristo Rey,,,,,01/01/1990 00:00,04/12/2009 14:00
22,Pº. Pontones,,,,,01/01/1990 00:00,20/11/2009 10:00
23,Final Calle Alcalá,,,,,01/01/1990 00:00,30/12/2009 14:00
24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",646,01/12/1998 0:00,
25,Santa Eugenia,,,,,01/01/1990 00:00,16/11/2009 10:00
26,Urbanización Embajada (Barajas),,,,,01/01/1990 00:00,11/01/2010 9:00
27,Barajas,"C/. Júpiter, 21 (Barajas) ","3°34'48.10""O","40°28'36.93""N",620,31/12/2002 0:00,
47,Méndez Álvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,"3°41'12.57""O","40°23'53.17""N",600,21/12/2009 0:00,
48,Paseo de Castellana,C/ Jose Gutierrez Abascal,"3°41'25.34""O","40°26'23.61""N",680,01/02/2010 0:00,
49,Retiro,Paseo Venezuela- Casa de Vacas,3º 40' 57''O,40º 24' 52''N,662,01/01/2010 0:00,
50,Plaza de Castilla,Plaza Castilla (Canal),"3°41'19.48""O","40°27'56.10""N",728,08/02/2010 0:00,
54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",629,11/12/2009 0:00,
55,Urbanización Embajada (Barajas),C/ Riaño (Barajas) ,"3°34'50.03""O","40°27'44.51""N",619,20/01/2010 15:00,
56,Plaza Elíptica, Pza. Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",605,18/01/2010 12:00,
57,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,"3°39'37.86""O","40°29'39.12""N",700,23/11/2010 0:00,
58,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N",612,30/11/2009 13:00,
59,Parque Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),"3º 36' 33""O",40º 27' 55''N,660,14/12/2009 0:00,
86,Tres Olivos,,,,,14/01/2010 13:00,31/12/2010 23:00
60,Tres Olivos,Plaza Tres Olivos ,"3°41'23.03""O","40°30'1.97""N",715,01/01/2011 0:00,
102,J.M.D. Moratalaz,,,,,,
103,J.M.D. Villaverde,,,,,,
104,E.D.A.R. La China,,,,,,
106,Centro Mpal. De Acústica,,,,,,
107,J.M.D. Hortaleza,,,,,,
108,Peñagrande,,,,,,
109,J.M.D.Chamberí,,,,,,
110.J.M.D.Centro,,,,,,
111,J.M.D.Chamartin,,,,,,
112,J.M.D.Vallecas 1,,,,,,
113,J.M.D.Vallecas 2,,,,,,
114,Matadero 01,,,,,,
115,Matadero 02,,,,,,

